,accuracy,metric,n_neighbors,weights,knn
13,0.7134512156615093,cityblock,2,distance,3
73,0.7134512156615093,manhattan,2,distance,3
49,0.7134512156615093,l1,2,distance,3
193,0.7093463845910957,minkowski,2,distance,10
253,0.7093463845910957,l2,2,distance,10
277,0.7093463845910957,nan_euclidean,2,distance,10
229,0.7093463845910957,euclidean,2,distance,10
157,0.7083991158825387,l2,2,distance,5
133,0.7083991158825387,euclidean,2,distance,5
181,0.7083991158825387,nan_euclidean,2,distance,5
97,0.7083991158825387,minkowski,2,distance,5
61,0.7071360909377961,l2,2,distance,3
1,0.7071360909377961,minkowski,2,distance,3
37,0.7071360909377961,euclidean,2,distance,3
85,0.7071360909377961,nan_euclidean,2,distance,3
120,0.7009788443321756,cosine,2,uniform,5
24,0.6978212819703189,cosine,2,uniform,3
216,0.6954531101989264,cosine,2,uniform,10
264,0.6319861067256078,manhattan,2,uniform,10
240,0.6319861067256078,l1,2,uniform,10
204,0.6319861067256078,cityblock,2,uniform,10
144,0.6300915693084939,l1,2,uniform,5
108,0.6300915693084939,cityblock,2,uniform,5
168,0.6300915693084939,manhattan,2,uniform,5
12,0.6267761288285444,cityblock,2,uniform,3
48,0.6267761288285444,l1,2,uniform,3
72,0.6267761288285444,manhattan,2,uniform,3
228,0.6203031259867382,euclidean,2,uniform,10
252,0.6203031259867382,l2,2,uniform,10
276,0.6203031259867382,nan_euclidean,2,uniform,10
192,0.6203031259867382,minkowski,2,uniform,10
84,0.6190401010419956,nan_euclidean,2,uniform,3
60,0.6190401010419956,l2,2,uniform,3
36,0.6190401010419956,euclidean,2,uniform,3
0,0.6190401010419956,minkowski,2,uniform,3
132,0.6161982949163246,euclidean,2,uniform,5
156,0.6161982949163246,l2,2,uniform,5
96,0.6161982949163246,minkowski,2,uniform,5
180,0.6161982949163246,nan_euclidean,2,uniform,5
